Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2020-04-26	220	122	55.5	19	8.6	14	73.7
2020-04-27	223	120	53.8	19	8.5	14	73.7
2020-04-28	254	141	55.5	21	8.3	14	66.7
2020-04-29	271	144	53.1	26	9.6	14	53.8
2020-04-30	250	152	60.8	21	8.4	14	66.7
2020-05-01	201	124	61.7	18	9.0	14	77.8
2020-05-02	236	148	62.7	18	7.6	14	77.8
2020-05-03	249	142	57.0	19	7.6	14	73.7
2020-05-04	226	124	54.9	18	8.0	13	72.2
2020-05-05	216	134	62.0	19	8.8	13	68.4
2020-05-06	200	123	61.5	20	10.0	13	65.0
2020-05-07	215	132	61.4	17	7.9	12	70.6
2020-05-08	231	141	61.0	14	6.1	10	71.4
2020-05-09	121	76	62.8	2	1.7	1	50.0
2020-05-10	231	141	61.0	12	5.2	7	58.3
2020-05-11	231	142	61.5	13	5.6	5	38.5
2020-05-12	209	132	63.2	15	7.2	6	40.0
2020-05-13	246	143	58.1	15	6.1	10	66.7
2020-05-14	270	164	60.7	13	4.8	8	61.5
2020-05-15	271	163	60.1	12	4.4	5	41.7
2020-05-16	272	167	61.4	11	4.0	5	45.5
2020-05-17	272	165	60.7	9	3.3	3	33.3
2020-05-18	272	155	57.0	9	3.3	3	33.3
2020-05-19	272	160	58.8	9	3.3	3	33.3
2020-05-20	272	169	62.1	8	2.9	2	25.0
2020-05-21	272	169	62.1	8	2.9	2	25.0
2020-05-22	274	170	62.0	9	3.3	2	22.2
2020-05-23	272	150	55.1	5	1.8	1	20.0
2020-05-24	272	152	55.9	5	1.8	1	20.0
2020-05-25	272	146	53.7	5	1.8	1	20.0
2020-05-26	272	158	58.1	3	1.1	3	100.0
2020-05-27	272	162	59.6	3	1.1	1	33.3
2020-05-28	272	162	59.6	4	1.5	0	0.0
2020-05-29	272	160	58.8	3	1.1	0	0.0
2020-05-30	272	160	58.8	2	0.7	2	100.0
2020-05-31	272	151	55.5	2	0.7	2	100.0
2020-06-01	272	145	53.3	2	0.7	2	100.0
2020-06-02	272	139	51.1	2	0.7	0	0.0
2020-06-03	272	152	55.9	2	0.7	0	0.0
2020-06-04	272	162	59.6	2	0.7	0	0.0
2020-06-05	272	169	62.1	1	0.4	0	0.0
2020-06-06	272	162	59.6	1	0.4	0	0.0
2020-06-07	273	164	60.1	1	0.4	0	0.0
2020-06-08	272	151	55.5	2	0.7	0	0.0
2020-06-09	272	167	61.4	2	0.7	0	0.0
2020-06-10	272	174	64.0	3	1.1	0	0.0
2020-06-11	272	167	61.4	3	1.1	0	0.0
2020-06-12	272	152	55.9	4	1.5	0	0.0
2020-06-13	272	160	58.8	3	1.1	0	0.0
2020-06-14	272	160	58.8	4	1.5	0	0.0
2020-06-15	272	158	58.1	4	1.5	0	0.0
2020-06-16	272	163	59.9	4	1.5	0	0.0
2020-06-17	272	168	61.8	4	1.5	0	0.0
2020-06-18	272	168	61.8	3	1.1	0	0.0
2020-06-19	272	175	64.3	4	1.5	1	25.0
2020-06-20	272	162	59.6	3	1.1	1	33.3
2020-06-21	271	156	57.6	3	1.1	1	33.3
2020-06-22	272	154	56.6	4	1.5	1	25.0
2020-06-23	272	167	61.4	4	1.5	1	25.0
2020-06-24	272	169	62.1	4	1.5	1	25.0
2020-06-25	272	174	64.0	5	1.8	0	0.0
2020-06-26	272	173	63.6	3	1.1	0	0.0
2020-06-27	272	172	63.2	3	1.1	0	0.0
2020-06-28	272	167	61.4	2	0.7	0	0.0
2020-06-29	272	155	57.0	2	0.7	0	0.0
2020-06-30	272	158	58.1	3	1.1	1	33.3
2020-07-01	272	166	61.0	3	1.1	1	33.3
2020-07-02	272	168	61.8	2	0.7	0	0.0
2020-07-03	272	171	62.9	3	1.1	0	0.0
2020-07-04	272	160	58.8	3	1.1	0	0.0
2020-07-05	272	160	58.8	3	1.1	0	0.0
2020-07-06	272	160	58.8	3	1.1	0	0.0
2020-07-07	272	167	61.4	3	1.1	0	0.0
2020-07-08	272	168	61.8	3	1.1	0	0.0
2020-07-09	272	160	58.8	3	1.1	0	0.0
2020-07-10	272	166	61.0	3	1.1	0	0.0
2020-07-11	272	168	61.8	3	1.1	0	0.0
2020-07-12	272	161	59.2	3	1.1	0	0.0
2020-07-13	272	161	59.2	3	1.1	0	0.0
2020-07-14	272	164	60.3	3	1.1	0	0.0
2020-07-15	272	170	62.5	1	0.4	0	0.0
2020-07-16	272	161	59.2	2	0.7	0	0.0
2020-07-17	270	171	63.3	2	0.7	0	0.0
2020-07-18	270	161	59.6	0	0.0	0	0
2020-07-19	270	157	58.1	0	0.0	0	0
2020-07-20	270	147	54.4	0	0.0	0	0
2020-07-21	270	159	58.9	0	0.0	0	0
2020-07-22	270	172	63.7	0	0.0	0	0
2020-07-23	270	174	64.4	0	0.0	0	0
2020-07-24	270	178	65.9	0	0.0	0	0
2020-07-25	270	163	60.4	0	0.0	0	0
2020-07-26	270	156	57.8	0	0.0	0	0
2020-07-27	270	149	55.2	0	0.0	0	0
2020-07-28	270	155	57.4	0	0.0	0	0
2020-07-29	270	168	62.2	0	0.0	0	0
2020-07-30	270	171	63.3	0	0.0	0	0
2020-07-31	270	166	61.5	0	0.0	0	0
2020-08-01	270	167	61.9	0	0.0	0	0
2020-08-02	270	158	58.5	0	0.0	0	0
2020-08-03	270	156	57.8	0	0.0	0	0
2020-08-04	260	153	58.8	0	0.0	0	0
2020-08-05	260	162	62.3	1	0.4	1	100.0
2020-08-06	260	168	64.6	1	0.4	1	100.0
2020-08-07	260	172	66.2	1	0.4	1	100.0
2020-08-08	260	174	66.9	1	0.4	1	100.0
2020-08-09	260	167	64.2	1	0.4	1	100.0
2020-08-10	260	163	62.7	1	0.4	1	100.0
2020-08-11	260	165	63.5	1	0.4	1	100.0
2020-08-12	260	173	66.5	1	0.4	1	100.0
2020-08-13	260	178	68.5	1	0.4	1	100.0
2020-08-14	260	168	64.6	1	0.4	1	100.0
2020-08-15	258	160	62.0	1	0.4	1	100.0
2020-08-16	258	161	62.4	1	0.4	1	100.0
2020-08-17	258	158	61.2	1	0.4	1	100.0
2020-08-18	258	160	62.0	1	0.4	1	100.0
2020-08-19	258	167	64.7	1	0.4	1	100.0
2020-08-20	258	173	67.1	2	0.8	2	100.0
2020-08-21	258	172	66.7	2	0.8	2	100.0
2020-08-22	258	170	65.9	2	0.8	2	100.0
2020-08-23	258	168	65.1	2	0.8	2	100.0
2020-08-24	258	151	58.5	2	0.8	2	100.0
2020-08-25	258	174	67.4	2	0.8	2	100.0
2020-08-26	258	172	66.7	3	1.2	2	66.7
2020-08-27	258	175	67.8	4	1.6	3	75.0
2020-08-28	258	186	72.1	4	1.6	3	75.0
2020-08-29	258	179	69.4	4	1.6	3	75.0
2020-08-30	258	179	69.4	4	1.6	3	75.0
2020-08-31	258	157	60.9	4	1.6	3	75.0
2020-09-01	258	164	63.6	4	1.6	3	75.0
2020-09-02	258	170	65.9	4	1.6	3	75.0
2020-09-03	258	175	67.8	5	1.9	2	40.0
2020-09-04	258	182	70.5	5	1.9	2	40.0
2020-09-05	258	178	69.0	3	1.2	1	33.3
